,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
194,5277243,83.0,1,6,0.0,0.0,0.0
195,5277244,86.0,3,51,4.7,5.0,5.0
196,5277245,51.0,0,0,0.0,0.0,0.0
197,5277247,76.0,0,4,0.0,0.0,0.0
198,5277250,68.0,0,1,0.0,0.0,0.0
199,5277252,92.0,3,17,5.0,5.0,5.0
200,5277255,86.0,0,4,0.0,0.0,0.0
201,5277256,89.0,1,20,4.0,3.9,3.9
202,5277257,71.0,0,8,0.0,0.0,0.0
203,5277258,81.0,0,9,5.0,0.0,0.0
204,5277259,63.0,0,2,0.0,0.0,0.0
205,5277260,80.0,0,8,0.0,0.0,0.0
206,5277262,87.0,2,5,5.0,0.0,0.0
207,5277265,56.0,0,1,0.0,0.0,0.0
208,5277270,71.0,0,1,0.0,0.0,0.0
209,5277273,61.0,0,1,0.0,0.0,0.0
210,5277274,82.0,0,3,0.0,0.0,0.0
211,5277275,89.0,0,5,4.6,5.0,5.0
212,5277276,82.0,0,2,0.0,0.0,0.0
213,5277277,69.0,0,1,0.0,0.0,0.0
214,5277464,80.0,0,7,0.0,0.0,0.0
215,5277544,84.0,4,27,5.0,5.0,5.0
216,5277545,79.0,0,5,0.0,0.0,0.0
217,5277547,88.0,0,16,5.0,5.0,5.0
218,5277548,69.0,0,1,0.0,0.0,0.0
219,5277550,69.0,0,1,0.0,0.0,0.0
220,5277551,66.0,1,4,0.0,0.0,0.0
221,5277552,59.0,0,0,0.0,0.0,0.0
222,5277554,78.0,0,5,5.0,5.0,5.0
223,5277556,79.0,0,4,0.0,0.0,0.0
224,5277557,84.0,1,2,0.0,0.0,0.0
225,5277558,86.0,0,1,0.0,0.0,0.0
226,5277559,77.0,0,4,0.0,0.0,0.0
227,5277562,86.0,2,7,0.0,0.0,0.0
228,5277564,49.0,0,0,0.0,0.0,0.0
229,5277565,71.0,0,2,0.0,0.0,0.0
230,5277566,80.0,1,3,0.0,0.0,0.0
231,5277569,65.0,0,0,0.0,0.0,0.0
232,5278606,68.0,0,0,0.0,0.0,0.0
233,5279665,62.0,0,0,0.0,0.0,0.0
234,5279666,90.0,0,6,5.0,5.0,5.0
235,5279667,85.0,2,14,5.0,5.0,5.0
236,5279668,89.0,0,2,5.0,5.0,5.0
237,5279672,66.0,0,0,0.0,0.0,0.0
238,5279673,68.0,0,0,0.0,0.0,0.0
239,5279756,58.0,0,1,0.0,0.0,0.0
240,5279757,85.0,1,9,0.0,0.0,0.0
241,5279758,88.0,2,32,4.5,5.0,5.0
242,5279760,73.0,0,2,0.0,0.0,0.0
243,5279761,66.0,0,3,0.0,0.0,0.0
244,5279763,74.0,0,4,0.0,0.0,0.0
245,5279839,58.0,0,0,0.0,0.0,0.0
246,5280466,85.0,0,19,0.0,0.0,0.0
