,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
29,20200601,9266337,群芳鲜花礼品,14.8,9,710,3,3,3,333
30,20200601,9266338,流星花園,12.6,1,181,1,1,2,112
31,20200601,9268522,7号花舍,22.9,0,0,3,1,1,311
32,20200601,9268590,甜蜜花坊,10.3,0,0,1,1,1,111
33,20200601,9277061,大拇指婚庆,12.9,1,73,1,1,2,112
34,20200601,9280257,百花庄花卉,12.8,4,375,1,3,3,133
35,20200601,9284178,金缘鲜花,14.7,0,0,2,1,1,211
36,20200601,9288256,长华花店,12.3,1,0,1,1,1,111
37,20200601,9288258,花开相爱,14.6,2,162,2,2,2,222
38,20200601,9288323,凤鲜婚庆花艺,13.8,0,0,2,1,1,211
39,20200601,9288324,鑫鑫花艺,14.9,0,0,3,1,1,311
40,20200601,9288325,喜洋洋鲜花,13.9,0,0,2,1,1,211
41,20200601,9288367,英皇花店,11.8,2,595,1,2,3,123
42,20200601,9291522,婷旭花坊,11.5,1,0,1,1,1,111
43,20200601,9295282,蓝梦鲜花礼品,14.9,1,64,3,1,2,312
44,20200601,9295284,麦萌花艺生活馆,16.5,4,427,3,3,3,333
45,20200601,9295286,婉苑鲜花婚庆,17.1,17,1602,3,3,3,333
46,20200601,9295325,美家鲜花礼品店,12.5,12,1185,1,3,3,133
47,20200601,9295388,田美花艺,10.9,7,547,1,3,3,133
48,20200601,9297947,丰颖花艺,13.3,3,454,1,2,3,123
49,20200601,9314599,木子花开,14.6,1,66,2,1,2,212
50,20200601,9314603,鲜花婚庆,11.3,1,86,1,1,2,112
51,20200601,9314605,馨悦花店,14.6,0,0,2,1,1,211
52,20200601,9314606,茂业花店,13.9,13,1475,2,3,3,233
53,20200601,9314607,如意花艺,13.4,0,0,1,1,1,111
54,20200601,9314608,欣然鲜花,23.5,0,0,3,1,1,311
55,20200601,9314609,Mr.Liu's花店,12.9,4,291,1,3,3,133
56,20200601,9319351,花间集,15.7,0,0,3,1,1,311
57,20200601,9319651,爱尚花坊,14.3,3,413,2,2,3,223
58,20200601,9322628,博文花艺行,13.4,0,0,1,1,1,111
59,20200601,9322697,锦上添花鲜花,11.7,2,125,1,2,2,122
60,20200601,9323842,花无缺鲜花店,11.6,11,671,1,3,3,133
61,20200601,9338707,月月花屋,10.6,0,0,1,1,1,111
62,20200601,9338708,恒海鲜花,12.8,2,66,1,2,2,122
63,20200601,9338709,开封市玺花诚园艺有限公司,17.6,3,185,3,2,2,322
