,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
417,22267202676,花非花科技（原邂逅花坊）,株洲,170245940,邂逅花坊（花元素店泰山西路店）,247.6,173.52,3,82.53,190.3,63.43,74.08,54.8,0.22,1,85.0,1,0,0,0,247.6,0,0.0,20201112,20201211
985,22267202676,花非花科技（原邂逅花坊）,北京,171029600,邂逅花坊（光明街店）,97.9,88.11,3,32.63,97.9,32.63,9.79,0.0,0.0,0,0.0,0,0,0,0,97.9,0,0.0,20201112,20201211
61,22267202676,花非花科技（原邂逅花坊）,厦门,2043137369,匠心花艺馆（凤屿路店）,512.0,332.1,3,170.67,367.0,122.33,179.9,143.0,0.28,0,0.0,0,0,0,0,512.0,0,0.0,20201112,20201211
347,22267202676,花非花科技（原邂逅花坊）,茂名,304882613,邂逅花坊（花宴东堤路店）,373.0,214.2,3,124.33,233.0,77.67,158.8,135.0,0.36,1,70.0,1,0,0,0,373.0,0,0.0,20201112,20201211
425,22267202676,花非花科技（原邂逅花坊）,上饶,2043167124,情怀屯花艺（七六路店）,387.0,333.0,3,129.0,361.5,120.5,54.0,17.0,0.04,0,0.0,0,0,0,0,387.0,0,0.0,20201112,20201211
341,22267202676,花非花科技（原邂逅花坊）,榆林,170245992,邂逅花坊（天保鲜花坊小石砭店）,726.0,318.6,3,242.0,354.0,118.0,407.4,372.0,0.51,0,0.0,0,0,0,0,726.0,0,0.0,20201112,20201211
1037,22267202676,花非花科技（原邂逅花坊）,宁德,2034989624,邂逅花坊（勿忘我鲜花店永安东路店）,510.0,289.8,3,170.0,312.5,104.17,220.2,188.0,0.37,0,0.0,0,0,0,0,510.0,0,0.0,20201112,20201211
452,22267202676,花非花科技（原邂逅花坊）,湖州,304992592,邂逅花坊（百合婚庆天民路店）,465.6,250.74,3,155.2,277.6,92.53,214.86,187.0,0.4,0,0.0,0,0,0,0,465.6,0,0.0,20201112,20201211
946,22267202676,花非花科技（原邂逅花坊）,徐州,166924812,邂逅花坊（向阳花园桥店）,188.7,146.52,3,62.9,162.8,54.27,42.18,25.9,0.14,0,0.0,0,0,0,0,188.7,0,0.0,20201112,20201211
26,22267202676,花非花科技（原邂逅花坊）,绍兴,169732251,邂逅花坊（小米花卉润沁路店）,520.0,262.8,3,173.33,287.8,95.93,257.2,228.0,0.44,0,0.0,0,0,0,0,520.0,0,0.0,20201112,20201211
462,22267202676,花非花科技（原邂逅花坊）,合肥,2034999434,邂逅花坊（添彩园艺云谷路店）,770.0,327.6,3,256.67,357.0,119.0,442.4,406.0,0.53,0,0.0,0,0,0,0,770.0,0,0.0,20201112,20201211
95,22267202676,花非花科技（原邂逅花坊）,亳州,170245929,邂逅花坊（初心花坊花店农贸城店）,275.1,236.74,3,91.7,260.55,86.85,38.36,12.05,0.04,0,0.0,0,0,0,0,275.1,0,0.0,20201112,20201211
380,22267202676,花非花科技（原邂逅花坊）,厦门,167987358,邂逅花坊（花露诗语花店）,595.0,318.6,3,198.33,344.0,114.67,276.4,241.0,0.41,0,0.0,0,0,0,0,571.0,0,24.0,20201112,20201211
369,22267202676,花非花科技（原邂逅花坊）,北海,336869423,邂逅花坊（如愿花坊贵州路店）,146.0,128.7,3,48.67,135.0,45.0,17.3,3.0,0.02,0,0.0,0,0,0,0,146.0,0,0.0,20201112,20201211
381,22267202676,花非花科技（原邂逅花坊）,驻马店,2043127348,云杰鲜花（汝宁镇店）,432.1,180.99,3,144.03,195.6,65.2,251.11,231.0,0.53,0,0.0,0,0,0,0,432.1,0,0.0,20201112,20201211
87,22267202676,花非花科技（原邂逅花坊）,沈阳,2043473065,苔米花店（沧海路店）,441.7,236.43,3,147.23,253.5,84.5,205.27,179.0,0.41,0,0.0,0,0,0,0,441.7,0,0.0,20201112,20201211
956,22267202676,花非花科技（原邂逅花坊）,黑河,170246084,邂逅花坊（东兴路店）,608.0,257.4,3,202.67,278.0,92.67,350.6,322.0,0.53,1,88.0,1,0,0,0,608.0,0,0.0,20201112,20201211
676,22267202676,花非花科技（原邂逅花坊）,天津,170246114,邂逅花坊（花缘花藝卫安中里店）,245.0,138.6,2,122.5,154.0,77.0,106.4,91.0,0.37,0,0.0,0,0,0,0,245.0,0,0.0,20201112,20201211
1024,22267202676,花非花科技（原邂逅花坊）,南京,166924889,邂逅花坊（优雅鲜花双龙大道店）,155.7,129.33,2,77.85,142.7,71.35,26.37,12.0,0.08,0,0.0,0,0,0,0,155.7,0,0.0,20201112,20201211
691,22267202676,花非花科技（原邂逅花坊）,长沙,171029578,邂逅花坊（望城坡街道一店）,206.0,180.0,2,103.0,200.0,100.0,26.0,6.0,0.03,0,0.0,0,0,0,0,206.0,0,0.0,20201112,20201211
1065,22267202676,花非花科技（原邂逅花坊）,合肥,2034999433,邂逅花坊（品尚花艺韶山路店）,78.0,67.5,2,39.0,71.0,35.5,10.5,3.0,0.04,0,0.0,0,0,0,0,78.0,0,0.0,20201112,20201211
34,22267202676,花非花科技（原邂逅花坊）,周口,2042449181,芳草地鲜花店（长平路店）,412.0,177.3,2,206.0,197.0,98.5,234.7,215.0,0.52,2,176.0,2,0,0,0,412.0,0,0.0,20201112,20201211
675,22267202676,花非花科技（原邂逅花坊）,合肥,2036932688,邂逅花坊（鲜花大里路店）,374.0,155.7,2,187.0,173.0,86.5,218.3,201.0,0.54,0,0.0,0,0,0,0,374.0,0,0.0,20201112,20201211
