,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
326,22267202676,花非花科技（原邂逅花坊）,呼和浩特,166924917,邂逅花坊（朵兰花坊成吉思汗大街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
327,22267202676,花非花科技（原邂逅花坊）,合肥,167744294,邂逅花坊（翡翠路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
332,22267202676,花非花科技（原邂逅花坊）,镇江,170246015,邂逅花坊（伊恋鲜花学府路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
333,22267202676,花非花科技（原邂逅花坊）,福州,166924651,邂逅花坊（小荷花生活馆西洪路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
334,22267202676,花非花科技（原邂逅花坊）,吉林,304902553,邂逅花坊（晓晓鲜花婚庆北京路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
335,22267202676,花非花科技（原邂逅花坊）,郑州,2042489191,情人草（渔夫子路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
337,22267202676,花非花科技（原邂逅花坊）,淮北,170245948,邂逅花坊（青藤屋花店鹰山北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
340,22267202676,花非花科技（原邂逅花坊）,淄博,170245919,邂逅花坊（郁金香鲜花店般阳路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
342,22267202676,花非花科技（原邂逅花坊）,张家界,166924958,邂逅花坊（春浓花园古庸路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
344,22267202676,花非花科技（原邂逅花坊）,洛阳,170246031,邂逅花坊（花艺小栈健康路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
345,22267202676,花非花科技（原邂逅花坊）,唐山,2036081703,邂逅花坊(花东家店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
346,22267202676,花非花科技（原邂逅花坊）,泉州,170246034,邂逅花坊（爱花居蘭馨花艺丰泽区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,78.0,0,1,0,0,0.0,0,0.0,20201112,20201211
348,22267202676,花非花科技（原邂逅花坊）,德阳,167744314,邂逅花坊（顺城街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
351,22267202676,花非花科技（原邂逅花坊）,深圳,336952730,花艺轩（上星路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
353,22267202676,花非花科技（原邂逅花坊）,聊城,2042579211,花姑娘花艺工作室（隅西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,88.0,0,0,1,0,0.0,0,0.0,20201112,20201211
359,22267202676,花非花科技（原邂逅花坊）,杭州,304952580,邂逅花坊（花海富春街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
360,22267202676,花非花科技（原邂逅花坊）,曲靖,2036852685,邂逅花坊（佳园花艺内环东路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
361,22267202676,花非花科技（原邂逅花坊）,柳州,167744225,邂逅花坊（城中区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
367,22267202676,花非花科技（原邂逅花坊）,乐山,2043167110,花之魅（名山西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
370,22267202676,花非花科技（原邂逅花坊）,沧州,170245937,邂逅花坊（金玉良缘鲜花建设南街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201112,20201211
