,开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）,cluster
36,20200101,20200131,3165468,花生活鲜花（甄阿奇花艺）,鲜花组,辽宁省,营口,否,20170916,在线,18.0,18.2,7933,136,3,2,1.71,2.21,3,2,586.0,170.0,494.0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,100.0,1,0,0,0.0,0.0,0.0,0.0,,,0
37,20200101,20200131,3174325,花生活鲜花（乐派花艺）,鲜花组,贵州省,遵义,否,20170822,在线,17.0,17.4,7418,63,3,2,0.85,4.76,3,2,633.0,347.0,364.0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,0
38,20200101,20200131,3464481,花生活鲜花（香侬鲜花水果）,鲜花组,安徽省,合肥,否,20171013,在线,24.0,24.0,3705,45,1,1,1.21,2.22,1,1,395.0,125.0,309.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
39,20200101,20200131,3468033,花生活鲜花（家美园艺）,鲜花组,上海市,上海,否,20171016,在线,11.0,11.1,6376,296,39,35,4.64,13.18,44,41,11394.0,5872.03,6873.97,0,0,0,0,0,0,0,0,0,43,0,1,12,9,75.0,1,0,0,5.0,5.0,5.0,1.0,,,0
40,20200101,20200131,3562612,花生活鲜花（俪缘摆渡人）,鲜花组,江苏省,淮安,否,20171018,在线,11.0,11.0,6279,57,0,0,0.91,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,0
41,20200101,20200131,3713872,花生活鲜花（泽凤花店）,鲜花组,安徽省,合肥,否,20171115,在线,19.0,19.4,6645,66,5,4,0.99,7.58,5,5,1607.0,630.0,1164.0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,0
42,20200101,20200131,3882102,如意花艺（乐从店）,鲜花组,广东省,佛山,否,20180601,在线,14.0,13.0,2588,15,0,0,0.58,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
43,20200101,20200131,3985407,花生活鲜花（柔兰花艺）,鲜花组,福建省,莆田,否,20171207,在线,21.0,20.8,19671,586,18,17,2.98,3.07,18,18,5016.0,2365.0,3250.0,0,0,0,0,0,0,0,0,0,19,0,0,13,10,76.92,2,0,0,3.5,3.5,3.5,0.0,,,1
44,20200101,20200131,3994932,花生活鲜花（雅心花艺）,鲜花组,湖南省,长沙,否,20171206,在线,16.0,16.1,13840,157,8,7,1.13,5.1,9,9,4873.02,1099.01,4124.91,0,0,0,0,0,0,0,0,0,9,0,0,2,2,100.0,0,0,0,1.6,1.6,1.6,0.0,,,1
45,20200101,20200131,4139743,花日国际,鲜花组,北京市,北京,否,20171222,下线,0.0,0.0,3,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
