,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,首次上线时间,一级品类,二级品类,在线商品数,提单数,推单数,订单数,原价交易额,实付交易额,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,曝光人数,进店人数,成单用户数
0,9987840,紫情花艺,100012196,如愿鲜花,河北省,张家口,D1,桥西区,20200918.0,鲜花绿植,鲜花店,770,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,5653,88,0
0,9601223,花森林（海娇鲜花店）,100035486,花森林,河北省,张家口,D1,,20200724.0,鲜花绿植,综合鲜花绿植店,352,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,1838,31,0
0,8936941,一花一慕花艺（北方学院店）,0,,河北省,张家口,D1,河北北方学院,20200430.0,鲜花绿植,鲜花店,110,20,17,17,4041.0,2026.9,0,0,0,0,0,0,0,0,7821,557,17
0,9240054,幸福花开鲜花（鲜花，绿植，生日花表白）,100003909,一家花店,河北省,张家口,D1,桥东区,20200602.0,鲜花绿植,鲜花店,534,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1218,21,0
0,5637999,花小匠,100012195,爱花轩,河北省,张家口,D1,桥西区,20180815.0,鲜花绿植,鲜花店,415,15,15,15,2433.9,1241.9,0,0,0,0,0,0,0,0,2949,89,15
0,9236625,花房姑娘鲜花坊,0,,河北省,张家口,D1,桥东区,20200604.0,鲜花绿植,综合鲜花绿植店,55,2,1,0,0.0,0.0,1,0,1,0,0,0,0,0,3533,40,0
0,1709625,香格格鲜花馆（怀来）,29079,香格格鲜花馆,河北省,张家口,D1,,20161125.0,鲜花绿植,鲜花店,232,1,1,0,0.0,0.0,1,0,1,0,0,0,0,0,689,20,0
0,10040032,光头强花店,100034936,玫瑰说,河北省,张家口,D1,桥西区,20200923.0,鲜花绿植,鲜花店,293,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1281,25,0
0,3291038,诗情花艺花店,0,,河北省,张家口,D1,,20170913.0,鲜花绿植,鲜花店,106,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,61,0,0
0,8709480,金金鲜花,0,,河北省,张家口,D1,宣化区,20200316.0,鲜花绿植,鲜花店,25,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,660,3,0
0,9844538,植得,100025970,花生活,河北省,张家口,D1,,20200828.0,鲜花绿植,鲜花店,647,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,478,6,0
0,10084532,蝶梦鲜花店,0,,河北省,张家口,D1,宣化区,20200929.0,鲜花绿植,鲜花店,5,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4865,43,0
0,8376667,弄花花艺,0,,河北省,张家口,D1,,20191224.0,鲜花绿植,鲜花店,54,1,1,1,89.0,89.0,0,0,0,0,0,0,0,0,858,53,1
0,9431456,花艺空间鲜花店（教师节鲜花、婚庆用花、开业花篮）,100011097,玫瑰之约鲜花,河北省,张家口,D1,桥西区,20200702.0,鲜花绿植,鲜花店,434,5,5,4,941.9,431.9,1,0,0,1,0,0,0,0,3782,101,4
0,9736290,匠心花艺婚庆（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,银座,20200817.0,鲜花绿植,鲜花店,299,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,4146,53,0
0,8369636,花伴鲜花店（教师节鲜花、婚庆用花、开业花篮）,100011097,玫瑰之约鲜花,河北省,张家口,D1,银座,20200226.0,鲜花绿植,鲜花店,118,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1937,37,0
0,9804027,绿之缘鲜花坊,0,,河北省,张家口,D1,,20200822.0,鲜花绿植,鲜花店,94,13,10,6,529.9,529.9,0,0,0,0,0,0,0,0,972,98,6
0,3169810,腾飞花卉中心,0,,河北省,张家口,D1,,20170824.0,鲜花绿植,鲜花店,88,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,611,21,0
0,7535576,花匠先生（婚庆典礼情人竹鲜花店）,100030827,花匠先生,河北省,张家口,D1,桥东区,20190806.0,鲜花绿植,鲜花店,563,1,1,1,198.0,98.0,0,0,0,0,0,0,0,0,1898,47,1
0,8850906,花·时间鲜花店(生日花，表白花，鲜花),100004099,邂逅花坊鲜花,河北省,张家口,D1,,20200410.0,鲜花绿植,鲜花店,609,5,5,4,1373.0,525.1,1,0,1,0,0,0,0,0,1743,66,4
0,5961371,花匠先生（卡朵朵鲜花店）,100030827,花匠先生,河北省,张家口,D1,宣化区,20181022.0,鲜花绿植,鲜花店,560,2,2,2,586.0,226.0,0,0,0,0,0,0,0,0,3517,75,2
0,7274305,初诺鲜花水果,0,,河北省,张家口,D1,高新区,20190617.0,鲜花绿植,鲜花店,60,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,408,1,0
0,9569808,小草鲜花店（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,宣化区,20200720.0,鲜花绿植,鲜花店,293,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,3500,43,0
0,7134801,花漫,0,,河北省,张家口,D1,桥东区,20190603.0,鲜花绿植,鲜花店,21,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,50,1,0
0,5633635,花木兰,0,,河北省,张家口,D1,,20180815.0,鲜花绿植,鲜花店,64,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,980,34,0
0,4465240,鹿大人（田园花舍鲜花）,100033339,鹿大人,河北省,张家口,D1,桥东区,20180309.0,鲜花绿植,鲜花店,391,22,21,19,4459.8,2204.7799999999997,0,0,0,0,0,0,0,0,9270,308,19
0,7255448,熊先生鲜花（娜间花店）,100030825,熊先生鲜花,河北省,张家口,D1,宣化区,20190611.0,鲜花绿植,鲜花店,407,6,5,5,932.0,566.0,0,0,0,0,0,0,0,0,4119,70,5
0,7933846,鲜花店,0,,河北省,张家口,D1,宣化区,20191013.0,鲜花绿植,鲜花店,13,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,47,1,0
0,9810227,爱之漫,100025970,花生活,河北省,张家口,D1,,20200823.0,鲜花绿植,鲜花店,620,3,3,2,577.0,437.0,0,0,0,0,0,0,0,0,2146,76,2
0,4017324,藤园艺馆,0,,河北省,张家口,D1,银座,20171211.0,鲜花绿植,鲜花店,13,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,298,12,0
0,9716991,花间密码,100031553,喜花绿植,河北省,张家口,D1,宣化区,20200810.0,鲜花绿植,鲜花店,288,13,12,12,1889.0,851.81,0,0,0,0,0,0,0,0,7992,193,12
0,7506071,牛牛水族花卉（尚义）,0,,河北省,张家口,D1,,20190726.0,鲜花绿植,绿植/园艺店,38,1,1,1,120.0,120.0,0,0,0,0,0,0,0,0,2253,105,1
0,8313418,诺言鲜花（涿鹿县店）,100004094,诺言鲜花,河北省,张家口,D1,,20200210.0,鲜花绿植,鲜花店,633,8,6,6,2606.0,1044.0,1,1,0,0,0,0,0,0,2430,142,6
0,6627263,沁园花卉（平安街店）,0,,河北省,张家口,D1,,20190308.0,鲜花绿植,鲜花店,52,10,8,8,1275.0,1275.0,0,0,0,0,0,0,0,0,686,86,8
0,9329905,幸福草花店（康乃馨·向日葵）,100035487,花专家,河北省,张家口,D1,,20200615.0,鲜花绿植,鲜花店,324,7,7,5,1683.0,691.0,1,0,1,0,0,0,0,0,5225,116,5
0,8404291,艾妮花艺（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,桥西区,20200121.0,鲜花绿植,鲜花店,398,57,54,48,10160.0,4573.6,5,4,0,1,0,0,0,0,7685,415,47
0,3801797,米兰鲜花店鲜花绿植,0,,河北省,张家口,D1,宣化区,20171114.0,鲜花绿植,鲜花店,546,47,40,38,14316.0,5204.0,2,1,0,0,0,0,0,0,10920,428,38
