订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题,,,,,,,,
"73101882405081402	","2020-03-08 18:00:54	","花生活鲜花（伊佰莲鲜花婚庆）	","7310188	","绍兴	","395.00	","395.00	","『Classic B4款』表白神器 11枝红玫瑰+配草鲜花店*数量1	","缺货导致退款；	",,,顾客申请全额退款,,计划有变，我不想要了,,,转单门店
"67294484050024121	","2020-03-14 21:07:20	","花生活鲜花（千百卉鲜花店）	","6729448	","贵阳	","245.00	","0.00	",,"拣货超时；	",,,顾客申请极速退款,,计划有变，我不想要了,商家开通极速退款服务，用户申请系统自动通过,,顾客在一分钟内极速退款
"69562670961429498	","2020-03-08 09:16:00	","花生活鲜花（佳人婚庆店）	","6956267	","常州	","256.00	","0.00	",,"用户催单；	",,,订单取消自动确认退款,,订单取消时，自动退款,下单超时未确认，系统自动取消,,门店没注意，所以没接到
"67294482559640493	","2020-03-16 09:31:17	","花生活鲜花（千百卉鲜花店）	","6729448	","贵阳	","256.00	","0.00	",,"拣货超时；	",,,订单取消自动确认退款,,订单取消时，自动退款,下单超时未确认，系统自动取消,,太便宜了，不想做
"73101881525647997	","2020-03-14 17:31:05	","花生活鲜花（伊佰莲鲜花婚庆）	","7310188	","绍兴	","208.00	","0.00	",,"用户催单；	",,,订单取消自动确认退款,,订单取消时，自动退款,下单超时未确认，系统自动取消,,他说想退就退了
"69562670251865799	","2020-03-08 13:38:48	","花生活鲜花（佳人婚庆店）	","6956267	","常州	","320.00	","0.00	",,"用户催单；	",,,订单取消自动确认退款,,订单取消时，自动退款,下单超时未确认，系统自动取消,,没有注意到订单
"67294481875518969	","2020-03-16 10:08:17	","花生活鲜花（千百卉鲜花店）	","6729448	","贵阳	","199.00	","0.00	",,"拣货超时；	",,,顾客申请全额退款,,计划有变，我不想要了,,商家拒绝全额退款,订单已经成功配送了，跟顾客沟通了
"68267100085732698	","2020-03-28 00:29:27	","花生活鲜花（LOVE鲜花店）	","6826710	","廊坊	","788.00	","788.00	","『Black yarn E1款』99枝红玫瑰花儿黑纱花束*数量1	","商家超时未接单；	",,,顾客申请极速退款,,计划有变，我不想要了,商家开通极速退款服务，用户申请系统自动通过,商家开通极速退款服务，顾客申请系统自动通过,
"69562670752613205	","2020-03-08 13:44:57	","花生活鲜花（佳人婚庆店）	","6956267	","常州	","158.00	","0.00	",,"用户催单；	",,,订单取消自动确认退款,,订单取消时，自动退款,重复订单,该笔钱会自动退回给顾客,定重复了多了
"73101882776558867	","2020-03-24 17:36:23	","花生活鲜花（伊佰莲鲜花婚庆）	","7310188	","绍兴	","256.00	","0.00	",,"用户催单；	",,,顾客申请全额退款,,计划有变，我不想要了,商家同意退款,该笔钱会自动退回给顾客,顾客不想要了
"67294482212203189	","2020-03-16 19:20:12	","花生活鲜花（千百卉鲜花店）	","6729448	","贵阳	","245.00	","0.00	",,"拣货超时；	",,,顾客申请全额退款,,商家无法提供服务,商家同意退款,该笔钱会自动退回给顾客,门店开门没有插花师
"69562671097789639	","2020-03-08 15:11:16	","花生活鲜花（佳人婚庆店）	","6956267	","常州	","320.00	","0.00	",,"用户催单；	",,,订单取消自动确认退款,,订单取消时，自动退款,,该笔钱会自动退回给顾客,
"73179714046540267	","2020-03-08 12:05:54	","花生活鲜花（如意花坊银川店店）	","7317971	","银川	","268.00	","268.00	","『Classic B4款』表白神器 11枝红玫瑰+配草鲜花店*数量1	","商家超时未接单；	",,,订单取消自动确认退款,,订单取消时，自动退款,,该笔钱会自动退回给顾客,
"68267124046540267	","2020-03-08 08:34:18	","花生活鲜花（流星花园鲜花）	","6826712	","廊坊	","298.00	","0.00	",,"用户催单；	",,,,,,,,
"69562672723043024	","2020-03-15 07:39:29	","花生活鲜花（佳人婚庆店）	","6956267	","常州	","256.00	","0.00	",,"用户催单；	",,,,,,,,
"73179724046540267	","2020-03-08 09:18:22	","花生活鲜花（知音花艺）	","7317972	","金华	","316.00	","0.00	",,"用户催单；	",,,,,,,,
"68267720752613205	","2020-03-08 10:56:54	","花生活鲜花（倾城时光鲜花）	","6826772	","吉安	","229.00	","0.00	",,"用户催单；	",,,,,,,,
