,0,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,有效率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
33,20200601,20200630,9277061,大拇指婚庆,鲜花组,辽宁省,本溪,否,20200609,在线,12,12.9,1111,66,1,1,1,0,5.94,0.02,1,1,0,229,73,161,229,73,0
15,20200601,20200630,9132229,尚品花店,鲜花组,湖北省,十堰,否,20200519,下线,14,14.5,911,21,0,0,0,0,2.31,0,0,0,0,0,0,0,0,0,2
6,20200601,20200630,9043314,茗蔓花艺,鲜花组,河北省,石家庄,否,20200508,在线,18,18,911,16,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,2
52,20200601,20200630,9314606,茂业花店,鲜花组,湖南省,湘西土家族苗族自治州,否,20200612,在线,13,13.9,839,68,12,12,12,0,8.1,0.18,1,1,0,3308,1475,1893,275.6666667,122.9166667,2
36,20200601,20200630,9288256,长华花店,鲜花组,江西省,抚州,否,20200617,在线,12,12.3,838,29,1,0,0,1,3.46,0.03,0,0,1,0,0,0,0,0,2
94,20200601,20200630,9385911,阁禹,鲜花组,吉林省,长春,否,20200623,在线,7,7.1,830,42,0,0,0,0,5.06,0,0,0,0,0,0,0,0,0,2
61,20200601,20200630,9338707,月月花屋,鲜花组,湖南省,邵阳,否,20200617,在线,10,10.6,755,16,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,2
41,20200601,20200630,9288367,英皇花店,鲜花组,山东省,菏泽,否,20200620,在线,11,11.8,682,33,3,1,1,2,4.84,0.09,0.333333333,0.333333333,0.666666667,703,595,113,234.3333333,198.3333333,2
79,20200601,20200630,9364823,花颜花艺生活馆,鲜花组,山东省,青岛,否,20200619,在线,11,11.9,664,19,1,1,1,0,2.86,0.05,1,1,0,299,194,110,299,194,2
70,20200601,20200630,9344175,爱神鲜花批发,鲜花组,辽宁省,大连,否,20200618,在线,10,10.7,638,19,2,1,1,1,2.98,0.11,0.5,0.5,0.5,229,64,170,114.5,32,2
91,20200601,20200630,9385118,四季花艺,鲜花组,黑龙江省,牡丹江,否,20200623,在线,11,11.8,635,21,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,2
95,20200601,20200630,9387883,花开半夏,鲜花组,江苏省,宿迁,否,20200624,在线,13,13.7,635,28,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,2
98,20200601,20200630,9402143,亿米阳光,鲜花组,山东省,青岛,否,20200627,在线,13,13.6,605,25,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,2
86,20200601,20200630,9385040,鲜花绿植,鲜花组,河南省,安阳,否,20200623,在线,14,14.7,593,23,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,2
16,20200601,20200630,9221181,花鲜阁,鲜花组,安徽省,合肥,否,20200620,在线,12,12,567,14,1,1,1,0,2.47,0.07,1,1,0,229,64,170,229,64,2
80,20200601,20200630,9366091,海霞花艺,鲜花组,贵州省,遵义,否,20200623,在线,14,14.7,558,29,3,3,3,0,5.2,0.1,1,1,0,630,299,346,210,99.66666667,2
87,20200601,20200630,9385041,拾贰花艺,鲜花组,湖北省,黄冈,否,20200623,在线,12,12.7,490,10,1,1,1,0,2.04,0.1,1,1,0,99,99,0,99,99,2
99,20200601,20200630,9402187,百卉鲜花婚庆,鲜花组,河北省,唐山,否,20200626,在线,14,14.7,382,5,0,0,0,0,1.31,0,0,0,0,0,0,0,0,0,2
96,20200601,20200630,9394079,花言草语,鲜花组,云南省,昭通,否,20200627,在线,14,13.8,364,18,4,2,2,2,4.95,0.22,0.5,0.5,0.5,498,228,280,124.5,57,2
93,20200601,20200630,9385384,简单花艺,鲜花组,黑龙江省,黑河,否,20200624,在线,9,8.1,307,10,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,2
110,20200601,20200630,9415615,一花一木花艺生活馆,鲜花组,海南省,海口,否,20200629,在线,10,9.7,304,10,1,1,1,0,3.29,0.1,1,1,0,468,143,330,468,143,2
85,20200601,20200630,9385039,惜缘花业,鲜花组,山东省,菏泽,否,20200622,在线,1,1.5,264,11,1,0,0,1,4.17,0.09,0,0,1,0,0,0,0,0,2
97,20200601,20200630,9394266,花仙谷鲜花店,鲜花组,湖北省,黄冈,否,20200627,在线,13,13.3,246,9,1,1,1,0,3.66,0.11,1,1,0,229,64,170,229,64,2
100,20200601,20200630,9402588,爱使鲜花,鲜花组,山东省,淄博,否,20200627,在线,10,10.2,172,6,0,0,0,0,3.49,0,0,0,0,0,0,0,0,0,2
88,20200601,20200630,9385042,石上花坊批发,鲜花组,山东省,滨州,否,20200627,在线,8,7.6,146,4,0,0,0,0,2.74,0,0,0,0,0,0,0,0,0,2
113,20200601,20200630,9415709,乐都鲜花,鲜花组,山东省,青岛,否,20200629,在线,11,11.4,116,3,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0,2
105,20200601,20200630,9415610,小浣熊鲜花坊,鲜花组,河北省,唐山,否,20200629,在线,14,14.2,109,6,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,2
104,20200601,20200630,9415496,花之舞庆典,鲜花组,辽宁省,辽阳,是,20200630,在线,14,13.7,104,3,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,2
107,20200601,20200630,9415612,利群鲜花批发,鲜花组,山东省,青岛,否,20200629,在线,14,14.3,99,2,0,0,0,0,2.02,0,0,0,0,0,0,0,0,0,2
106,20200601,20200630,9415611,圣格花艺,鲜花组,黑龙江省,佳木斯,否,20200629,在线,17,17.1,83,6,2,2,2,0,7.23,0.33,1,1,0,498,223,285,249,111.5,2
101,20200601,20200630,9415492,95至尊花艺,鲜花组,黑龙江省,佳木斯,否,20200629,在线,12,12.4,67,1,0,0,0,0,1.49,0,0,0,0,0,0,0,0,0,2
116,20200601,20200630,9418080,唯一鲜花,鲜花组,山东省,临沂,是,20200630,在线,9,8.8,65,3,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,2
115,20200601,20200630,9416497,柳柳花舍,鲜花组,重庆市,重庆,是,20200630,在线,12,11.4,61,1,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,2
111,20200601,20200630,9415704,爱尚花艺,鲜花组,重庆市,重庆,否,20200629,在线,12,12.3,48,1,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,2
109,20200601,20200630,9415614,真情鲜花,鲜花组,辽宁省,沈阳,是,20200630,在线,10,9.8,45,2,0,0,0,0,4.44,0,0,0,0,0,0,0,0,0,2
112,20200601,20200630,9415707,鑫福源鲜花,鲜花组,山东省,青岛,否,20200629,在线,10,9.8,42,1,0,0,0,0,2.38,0,0,0,0,0,0,0,0,0,2
114,20200601,20200630,9415742,花语轩鲜花,鲜花组,陕西省,宝鸡,是,20200630,在线,15,14.4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108,20200601,20200630,9415613,金百合花店,鲜花组,陕西省,汉中,是,20200630,在线,15,14.1,38,1,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2
102,20200601,20200630,9415494,九月花艺,鲜花组,山东省,青岛,是,20200630,在线,7,7,30,2,1,1,1,0,6.67,0.5,1,1,0,230,69,166,230,69,2
118,20200601,20200630,9427935,花满庭花艺,鲜花组,福建省,莆田,是,20200630,在线,0,0,27,1,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,2
32,20200601,20200630,9268590,甜蜜花坊,鲜花组,山西省,大同,否,20200618,下线,11,10.3,21,1,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,2
103,20200601,20200630,9415495,芳雅花艺生活馆,鲜花组,陕西省,渭南,是,20200630,在线,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
117,20200601,20200630,9421954,江东花卉市场,鲜花组,重庆市,重庆,是,20200630,在线,15,14.1,4,4,2,1,1,1,100,0.5,0.5,0.5,0.5,229,69,165,114.5,34.5,2
