,time,商家ID,r,f,m,r_score,f_score,m_score,rfm_group
1078,3,8364413,24,3,387,3,2,2,322
1079,3,8364414,0,0,0,1,1,1,111
1080,3,8364416,24,2,242,3,2,2,322
1081,3,8364417,22,3,383,2,2,2,222
1082,3,8435950,0,0,0,1,1,1,111
1083,3,8435952,11,3,445,2,2,2,222
1084,3,8435955,20,3,497,2,2,2,222
1085,3,8435957,24,19,2078,3,3,3,333
1086,3,8435958,23,51,6343,3,3,3,333
1087,3,8435959,24,10,990,3,3,3,333
1088,3,8435960,0,0,0,1,1,1,111
1089,3,8435961,22,5,552,2,2,2,222
1090,3,8435962,12,4,503,2,2,2,222
1091,3,8437924,16,25,3505,2,3,3,233
1092,3,8437925,0,0,0,1,1,1,111
1093,3,8437926,24,0,0,3,1,1,311
1094,3,8437927,0,0,0,1,1,1,111
1095,3,8442887,14,2,144,2,2,2,222
1096,3,8462158,20,4,396,2,2,2,222
1097,3,8471191,5,2,311,1,2,2,122
1098,3,8471192,24,2,518,3,2,2,322
1099,3,8471193,22,8,894,2,2,3,223
1100,3,8471194,24,1,155,3,2,2,322
1101,3,8471195,13,2,214,2,2,2,222
1102,3,8471409,14,0,0,2,1,1,211
1103,3,8471425,0,1,0,1,2,1,121
1104,3,8471427,13,12,1192,2,3,3,233
1105,3,8471437,4,0,0,1,1,1,111
1106,3,8472854,11,3,336,2,2,2,222
1107,3,8472855,23,3,396,3,2,2,322
1108,3,8472856,24,0,0,3,1,1,311
1109,3,8488486,17,28,3218,2,3,3,233
1110,3,8488487,24,23,3407,3,3,3,333
1111,3,8488488,24,2,37,3,2,2,322
1112,3,8488489,24,18,2128,3,3,3,333
1113,3,8488490,24,36,3953,3,3,3,333
1114,3,8492059,18,0,0,2,1,1,211
1115,3,8492060,0,0,0,1,1,1,111
1116,3,8588168,14,0,0,2,1,1,211
1117,3,8588169,22,42,4845,2,3,3,233
1118,3,8588170,15,1,0,2,2,1,221
1119,3,8595633,17,0,0,2,1,1,211
1120,3,8607428,14,3,333,2,2,2,222
1121,3,8709965,8,7,670,1,2,2,122
1122,3,8709967,7,1,29,1,2,2,122
1123,3,8709968,13,0,0,2,1,1,211
1124,3,8709973,14,4,486,2,2,2,222
1125,3,8709974,21,3,87,2,2,2,222
1126,3,8709976,14,4,367,2,2,2,222
1127,3,8710687,15,14,1545,2,3,3,233
1128,3,8724585,16,9,1063,2,3,3,233
1129,3,8743603,11,0,0,2,1,1,211
1130,3,8755673,20,0,0,2,1,1,211
1131,3,8755674,6,0,0,1,1,1,111
1132,3,8755676,12,1,185,2,2,2,222
1133,3,8755677,9,2,281,1,2,2,122
1134,3,8755678,13,0,0,2,1,1,211
1135,3,8755679,20,4,311,2,2,2,222
1136,3,8755680,13,0,0,2,1,1,211
1137,3,8755681,15,0,0,2,1,1,211
1138,3,8755682,21,3,151,2,2,2,222
1139,3,8764356,11,0,0,2,1,1,211
1140,3,8790380,15,0,0,2,1,1,211
1141,4,642989,24,8,387,3,2,2,322
1142,4,653643,14,0,0,2,1,1,211
1143,4,714142,21,20,2821,2,3,3,233
1144,4,772683,18,5,688,2,2,2,222
1145,4,783170,24,1,0,3,2,1,321
1146,4,799254,24,0,0,3,1,1,311
1147,4,833749,0,0,0,1,1,1,111
1148,4,1330090,12,9,589,2,3,2,232
1149,4,1523142,16,3,267,2,2,2,222
1150,4,1696175,21,2,180,2,2,2,222
1151,4,1937925,24,0,0,3,1,1,311
1152,4,1971869,24,2,150,3,2,2,322
1153,4,2006070,24,0,0,3,1,1,311
1154,4,2019807,24,0,0,3,1,1,311
1155,4,2045211,24,0,0,3,1,1,311
1156,4,2068451,24,0,0,3,1,1,311
1157,4,2095123,24,148,17181,3,3,3,333
1158,4,2174771,23,3,251,2,2,2,222
1159,4,2220100,0,0,0,1,1,1,111
1160,4,2329256,24,1,106,3,2,2,322
1161,4,2402349,24,0,0,3,1,1,311
1162,4,2482113,0,0,0,1,1,1,111
1163,4,2527715,24,0,0,3,1,1,311
1164,4,2622811,12,2,201,2,2,2,222
1165,4,2666240,16,6,490,2,2,2,222
1166,4,2880558,24,2,271,3,2,2,322
1167,4,2922099,24,0,0,3,1,1,311
1168,4,3018522,24,5,499,3,2,2,322
1169,4,3027069,13,4,444,2,2,2,222
1170,4,3072588,24,6,666,3,2,2,322
1171,4,3095162,20,1,75,2,2,2,222
1172,4,3114926,14,6,534,2,2,2,222
1173,4,3128450,13,16,1996,2,3,3,233
1174,4,3165468,24,3,372,3,2,2,322
1175,4,3174325,24,2,291,3,2,2,322
1176,4,3464481,23,0,0,3,1,1,311
1177,4,3468033,24,136,17875,3,3,3,333
1178,4,3562612,0,0,0,1,1,1,111
1179,4,3713872,17,0,0,2,1,1,211
1180,4,3882102,16,9,657,2,3,2,232
1181,4,3985407,23,15,1505,3,3,3,333
1182,4,3994932,24,7,510,3,2,2,322
1183,4,4192177,0,0,0,1,1,1,111
1184,4,4304946,24,9,860,3,3,2,332
1185,4,4363389,21,58,7305,2,3,3,233
1186,4,4389748,24,7,1183,3,2,3,323
1187,4,4434657,15,4,730,2,2,2,222
