,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
211,7545487,71.0,0,7,0.0,0.0,0.0
212,7545488,64.0,0,23,0.0,0.0,0.0
213,7545489,64.0,2,30,4.4,4.7,4.7
214,7545490,69.0,0,1,0.0,0.0,0.0
215,7545492,57.0,0,2,0.0,0.0,0.0
216,7545494,60.0,0,0,0.0,0.0,0.0
217,7546953,79.0,0,31,4.6,5.0,5.0
218,7622475,53.0,0,4,0.0,0.0,0.0
219,7634499,74.0,0,8,4.7,4.5,4.5
220,7641996,84.0,0,5,4.7,5.0,5.0
221,7642002,60.0,0,2,0.0,0.0,0.0
222,7642004,53.0,0,4,0.0,0.0,0.0
223,7642006,84.0,0,35,5.0,5.0,5.0
224,7642070,64.0,0,2,4.5,5.0,5.0
225,7642072,56.0,1,3,0.0,0.0,0.0
226,7642073,54.0,0,6,0.0,0.0,0.0
227,7642074,75.0,0,19,4.9,5.0,5.0
228,7642075,56.0,0,9,0.0,0.0,0.0
229,7642076,79.0,0,7,0.0,0.0,0.0
230,7672370,71.0,0,3,0.0,0.0,0.0
231,7672411,81.0,2,27,4.9,5.0,5.0
232,7672419,58.0,0,2,2.6,4.2,4.2
233,7672420,77.0,0,29,4.5,5.0,5.0
234,7672499,59.0,0,4,0.0,0.0,0.0
235,7682068,69.0,0,28,4.6,5.0,5.0
236,7690567,81.0,0,27,4.3,5.0,5.0
237,7743128,79.0,0,8,0.0,0.0,0.0
238,7743129,50.0,0,0,0.0,0.0,0.0
239,7743130,71.0,0,14,5.0,5.0,5.0
240,7743133,75.0,0,10,5.0,5.0,5.0
241,7785891,67.0,1,9,4.0,4.1,4.1
242,7785893,72.0,0,7,0.0,0.0,0.0
243,7785894,54.0,0,0,0.0,0.0,0.0
244,7785895,71.0,0,8,3.6,4.6,4.6
245,7785896,74.0,0,3,0.0,0.0,0.0
246,7785967,87.0,1,61,5.0,5.0,5.0
247,7907142,74.0,0,1,4.0,4.2,4.2
248,7907143,53.0,0,4,0.0,0.0,0.0
249,7907144,64.0,0,19,0.0,0.0,0.0
250,7934066,53.0,0,11,0.0,0.0,0.0
251,7934067,58.0,0,2,0.0,0.0,0.0
252,7934071,65.0,0,5,0.0,0.0,0.0
