,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
449,1,北京	,2020-01-24 11:13:06	,51秒,否,折扣专区	,『时光荏苒』33枝红玫瑰520表白手提花篮送女友送闺蜜鲜花店,388.0,258.0,0.6649484536082474
451,1,北京	,2020-01-24 13:58:59	,21秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,295.0,158.0,0.535593220338983
454,1,杭州	,2020-01-01 11:32:13	,1秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,185.0,0.39361702127659576
457,1,杭州	,2020-01-02 09:45:32	,0秒,否,折扣专区	,『感天动地』19枝红玫瑰鲜花礼盒送亲人送闺蜜送情人鲜花店,328.0,165.0,0.5030487804878049
458,1,杭州	,2020-01-02 17:08:42	,1秒,否,折扣专区	,『鸾凤和鸣』19枝红玫瑰表白款抱抱桶生日情人节送闺蜜鲜花店,328.0,175.0,0.5335365853658537
465,1,杭州	,2020-01-05 16:20:40	,1秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,215.0,0.4574468085106383
470,1,杭州	,2020-01-07 18:40:36	,0秒,否,折扣专区	,『感天动地』19枝红玫瑰鲜花礼盒送亲人送闺蜜送情人鲜花店,328.0,165.0,0.5030487804878049
489,1,杭州	,2020-01-17 10:14:16	,1秒,否,折扣专区	,『眉目传情』33枝红玫瑰鲜花花束 生日礼物送女友送男友鲜花店,388.0,305.0,0.7860824742268041
490,1,杭州	,2020-01-17 12:52:40	,1秒,否,折扣专区	,『爆款推荐』9枝玫瑰混搭玫瑰花束生日送女友送闺蜜送老公鲜花店,590.0,227.0,0.3847457627118644
493,1,杭州	,2020-01-18 14:56:59	,0秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,225.0,0.6284916201117319
496,1,杭州	,2020-01-19 11:07:19	,2秒,否,折扣专区	,『鸾凤和鸣』19枝红玫瑰表白款抱抱桶生日情人节送闺蜜鲜花店,328.0,169.0,0.5152439024390244
498,1,杭州	,2020-01-19 11:21:35	,2秒,否,折扣专区	,『鸾凤和鸣』19枝红玫瑰表白款抱抱桶生日情人节送闺蜜鲜花店,328.0,169.0,0.5152439024390244
535,1,上海	,2020-01-17 12:59:33	,1秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
537,1,上海	,2020-01-17 20:47:00	,0秒,否,折扣专区	,『巧夺天工』33枝红玫瑰花搭配桂冠韩式花束送女友鼠年生日礼物,595.0,225.0,0.37815126050420167
555,1,上海	,2020-01-25 18:25:08	,2秒,否,折扣专区	,『I LOVE YOU』红玫瑰花鲜花礼盒送女友生日礼物鲜花店,358.0,255.95,0.7149441340782122
602,1,贵阳	,2020-01-01 16:42:03	,15秒,否,折扣专区	,『卡拉曼达』19枝香槟玫瑰花礼盒送女友生日礼物鲜花店推荐闺蜜,298.0,185.0,0.6208053691275168
648,1,贵阳	,2020-01-19 19:35:25	,15秒,否,折扣专区	,『香橙』19枝香槟玫瑰礼盒鲜花送女友朋友生日礼物送闺蜜送亲人,298.0,158.0,0.5302013422818792
698,1,太原	,2020-01-21 21:26:48	,302秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,225.0,0.6284916201117319
702,1,株洲	,2020-01-01 11:08:08	,18秒,否,折扣专区	,『如隔三秋』33枝红玫瑰搭配满天星礼盒鲜花店 送女友生日礼物,358.0,251.0,0.7011173184357542
707,1,株洲	,2020-01-31 15:10:08	,140秒,否,折扣专区	,『一生的信念』19枝蓝色妖姬搭配黄莹送女友闺蜜生日礼物鲜花店,348.0,225.0,0.646551724137931
728,1,宁波	,2020-01-05 14:28:33	,36秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,175.0,0.7142857142857143
731,1,宁波	,2020-01-06 15:54:45	,195秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,168.0,0.6857142857142857
732,1,宁波	,2020-01-06 23:42:34	,0秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,185.0,0.39361702127659576
735,1,宁波	,2020-01-08 10:16:34	,186秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,171.0,0.3638297872340426
737,1,宁波	,2020-01-10 10:56:56	,198秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
750,1,宁波	,2020-01-15 18:11:51	,0秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
751,1,宁波	,2020-01-15 18:42:09	,0秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
752,1,宁波	,2020-01-15 18:46:56	,0秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,172.0,0.3659574468085106
756,1,宁波	,2020-01-18 12:24:15	,205秒,否,折扣专区	,『巧夺天工』33枝红玫瑰花搭配桂冠韩式花束送女友鼠年生日礼物,595.0,226.6,0.3808403361344538
767,1,德州	,2020-01-03 19:46:49	,16秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,185.0,0.39361702127659576
775,1,德州	,2020-01-19 13:49:28	,41秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
787,1,马鞍山	,2020-01-08 08:35:48	,1秒,否,折扣专区	,『情比金坚』33枝香槟玫瑰花鲜花束 送女友送闺蜜送情人鲜花店,358.0,213.9,0.5974860335195531
804,1,马鞍山	,2020-01-13 14:56:35	,2秒,否,折扣专区	,『宽厚的肩膀』33枝香槟玫瑰搭配黄莺表白礼盒送女友生日鲜花店,358.0,225.0,0.6284916201117319
815,1,马鞍山	,2020-01-17 16:24:49	,1秒,否,折扣专区	,『一生的信念』19枝蓝色妖姬搭配黄莹送女友闺蜜生日礼物鲜花店,348.0,225.0,0.646551724137931
837,1,廊坊	,2020-01-04 08:33:52	,21秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,184.0,0.39148936170212767
858,1,吉安	,2020-01-06 21:23:01	,1秒,否,折扣专区	,『从一而终』33枝红玫瑰花鲜花束 送亲人 送闺蜜送情人鲜花店,358.0,268.0,0.7486033519553073
883,1,吉安	,2020-01-27 18:12:05	,1秒,否,折扣专区	,『痴心』11枝红玫瑰礼盒鲜花送女友闺蜜朋友送女友圣诞爆款,320.0,163.0,0.509375
